Lemma,Gender,Nom_Sg,Gen_Sg,Acc_Sg,Voc_Sg,Nom_Pl,Gen_Pl,Acc_Pl,Voc_Pl
ευαισθησία,Fem,ευαισθησία,ευαισθησίας,ευαισθησία,ευαισθησία,ευαισθησίες,ευαισθησιών,ευαισθησίες,ευαισθησίες
ευγενής,Masc,ευγενής,ευγενούς,ευγενή,ευγενή,ευγενείς,ευγενών,ευγενείς,ευγενείς
ευγνωμοσύνη,Fem,ευγνωμοσύνη,ευγνωμοσύνης,ευγνωμοσύνη,ευγνωμοσύνη,,,,
ευελιξία,Fem,ευελιξία,ευελιξίας,ευελιξία,ευελιξία,ευελιξίες,ευελιξιών,ευελιξίες,ευελιξίες
ευημερία,Fem,ευημερία,ευημερίας,ευημερία,ευημερία,ευημερίες,ευημεριών,ευημερίες,ευημερίες
ευθυμία,Neut,ευθυμία,ευθυμίας,ευθυμία,ευθυμία,ευθυμίες,ευθυμιών,ευθυμίες,ευθυμίες
ευθύνη,Fem,ευθύνη,ευθύνης,ευθύνη,ευθύνη,ευθύνες,ευθυνών,ευθύνες,ευθύνες
ευκαιρία,Fem,ευκαιρία,ευκαιρίας,ευκαιρία,ευκαιρία,ευκαιρίες,ευκαιριών,ευκαιρίες,ευκαιρίες
ευκολία,Fem,ευκολία,ευκολίας,ευκολία,ευκολία,ευκολίες,ευκολιών,ευκολίες,ευκολίες
ευλογία,Fem,ευλογία,ευλογίας,ευλογία,ευλογία,ευλογίες,ευλογιών,ευλογίες,ευλογίες
ευρώ,Neut,,,,,,,,
ευτυχία,Fem,ευτυχία,ευτυχίας,ευτυχία,ευτυχία,,,,
ευχή,Fem,ευχή,ευχής,ευχή,ευχή,ευχές,ευχών,ευχές,ευχές
ευχαρίστηση,Fem,ευχαρίστηση,ευχαρίστησης,ευχαρίστηση,ευχαρίστηση,ευχαριστήσεις,ευχαριστήσεων,ευχαριστήσεις,ευχαριστήσεις
ευχαριστία,Fem,ευχαριστία,ευχαριστίας,ευχαριστία,ευχαριστία,ευχαριστίες,ευχαριστιών,ευχαριστίες,ευχαριστίες
εφάπαξ,Neut,,,,,,,,
εφαρμογή,Fem,εφαρμογή,εφαρμογής,εφαρμογή,εφαρμογή,εφαρμογές,εφαρμογών,εφαρμογές,εφαρμογές
εφετείο,Neut,εφετείο,εφετείου,εφετείο,εφετείο,εφετεία,εφετείων,εφετεία,εφετεία
εφεύρεση,Fem,εφεύρεση,εφεύρεσης,εφεύρεση,εφεύρεση,εφευρέσεις,εφευρέσεων,εφευρέσεις,εφευρέσεις
εφημερίδα,Fem,εφημερίδα,εφημερίδας,εφημερίδα,εφημερίδα,εφημερίδες,εφημερίδων,εφημερίδες,εφημερίδες
εφιάλτης,Masc,εφιάλτης,εφιάλτη,εφιάλτη,εφιάλτη,εφιάλτες,εφιαλτών,εφιάλτες,εφιάλτες
εφοπλιστής,Masc,εφοπλιστής,εφοπλιστή,εφοπλιστή,εφοπλιστή,εφοπλιστές,εφοπλιστών,εφοπλιστές,εφοπλιστές
εφορία,Fem,εφορία,εφορίας,εφορία,εφορία,εφορίες,εφοριών,εφορίες,εφορίες
εχθρός,Masc,εχθρός,εχθρού,εχθρό,εχθρέ,εχθροί,εχθρών,εχθρούς,εχθροί
εχθρότητα,Fem,εχθρότητα,εχθρότητας,εχθρότητα,εχθρότητα,εχθρότητες,εχθροτήτων,εχθρότητες,εχθρότητες
εύνοια,Fem,εύνοια,εύνοιας,εύνοια,εύνοια,εύνοιες,ευνοιών,εύνοιες,εύνοιες
εύρημα,Neut,εύρημα,ευρήματος,εύρημα,εύρημα,ευρήματα,ευρημάτων,ευρήματα,ευρήματα
εύρος,Neut,εύρος,εύρους,εύρος,εύρος,εύρη,ευρών,εύρη,εύρη
ζάχαρη,Fem,ζάχαρη,ζάχαρης,ζάχαρη,ζάχαρη,ζάχαρες,-,ζάχαρες,ζάχαρες
ζέβρα,Fem,ζέβρα,ζέβρας,ζέβρα,ζέβρα,ζέβρες,-,ζέβρες,ζέβρες
ζέστη,Fem,ζέστη,ζέστης,ζέστη,ζέστη,ζέστες,-,ζέστες,ζέστες
ζήλια,Fem,ζήλια,ζήλιας,ζήλια,ζήλια,ζήλιες,-,ζήλιες,ζήλιες
ζήλος,Masc,ζήλος,ζήλου,ζήλο,ζήλε,,,,
ζήτημα,Neut,ζήτημα,ζητήματος,ζήτημα,ζήτημα,ζητήματα,ζητημάτων,ζητήματα,ζητήματα
ζήτηση,Fem,ζήτηση,ζήτησης,ζήτηση,ζήτηση,ζητήσεις,ζητήσεων,ζητήσεις,ζητήσεις
ζακέτα,Fem,ζακέτα,ζακέτας,ζακέτα,ζακέτα,ζακέτες,ζακετών,ζακέτες,ζακέτες
ζαρκάδι,Neut,ζαρκάδι,ζαρκαδιού,ζαρκάδι,ζαρκάδι,ζαρκάδια,ζαρκαδιών,ζαρκάδια,ζαρκάδια
ζαχαροπλαστείο,Neut,ζαχαροπλαστείο,ζαχαροπλαστείου,ζαχαροπλαστείο,ζαχαροπλαστείο,ζαχαροπλαστεία,ζαχαροπλαστείων,ζαχαροπλαστεία,ζαχαροπλαστεία
ζευγάρι,Neut,ζευγάρι,ζευγαριού,ζευγάρι,ζευγάρι,ζευγάρια,ζευγαριών,ζευγάρια,ζευγάρια
ζεύγος,Neut,ζεύγος,ζεύγους,ζεύγος,ζεύγος,ζεύγη,ζευγών,ζεύγη,ζεύγη
ζημιά,Fem,ζημιά,ζημιάς,ζημιά,ζημιά,ζημιές,ζημιών,ζημιές,ζημιές
ζυγός,Masc,ζυγός,ζυγού,ζυγό,ζυγέ,ζυγοί,ζυγών,ζυγούς,ζυγοί
ζυμαρικό,Neut,ζυμαρικό,ζυμαρικού,ζυμαρικό,ζυμαρικό,ζυμαρικά,ζυμαρικών,ζυμαρικά,ζυμαρικά
ζωή,Fem,ζωή,ζωής,ζωή,ζωή,ζωές,ζωών,ζωές,ζωές
ζωγράφος,Masc,ζωγράφος,ζωγράφου,ζωγράφο,ζωγράφε,ζωγράφοι,ζωγράφων,ζωγράφους,ζωγράφοι
ζωγραφιά,Fem,ζωγραφία,ζωγραφίας,ζωγραφία,ζωγραφία,ζωγραφίες,ζωγραφιών,ζωγραφίες,ζωγραφίες
ζωγραφική,Fem,ζωγραφική,ζωγραφικής,ζωγραφική,ζωγραφική,ζωγραφικές,ζωγραφικών,ζωγραφικές,ζωγραφικές
ζωμός,Masc,ζωμός,ζωμού,ζωμό,ζωμέ,ζωμοί,ζωμών,ζωμούς,ζωμοί
ζύμη,Fem,ζύμη,ζύμης,ζύμη,ζύμη,ζύμες,ζυμών,ζύμες,ζύμες
ζώδιο,Neut,ζώδιο,ζώδιου,ζώδιο,ζώδιο,ζώδια,ζωδίων,ζώδια,ζώδια
ζώνη,Fem,ζώνη,ζώνης,ζώνη,ζώνη,ζώνες,ζωνών,ζώνες,ζώνες
ζώο,Neut,ζώο,ζώου,ζώο,ζώο,ζώα,ζώων,ζώα,ζώα
ηγέτης,Masc,ηγέτης,ηγέτη,ηγέτη,ηγέτη,ηγέτες,ηγετών,ηγέτες,ηγέτες
ηγεμόνας,Masc,ηγεμόνας,ηγεμόνα,ηγεμόνα,ηγεμόνα,ηγεμόνες,ηγεμόνων,ηγεμόνες,ηγεμόνες
ηγεσία,Fem,ηγεσία,ηγεσίας,ηγεσία,ηγεσία,ηγεσίες,ηγεσιών,ηγεσίες,ηγεσίες
ηθική,Fem,ηθική,ηθικής,ηθική,ηθική,,,,
ηθοποιός,Masc,ηθοποιός,ηθοποιού,ηθοποιό,ηθοποιέ,ηθοποιοί,ηθοποιών,ηθοποιούς,ηθοποιοί
ηλεκτρικός,Masc,,,,,,,,
ηλεκτρισμός,Masc,ηλεκτρισμός,ηλεκτρισμού,ηλεκτρισμό,ηλεκτρισμέ,ηλεκτρισμοί,ηλεκτρισμών,ηλεκτρισμούς,ηλεκτρισμοί
ηλεκτρονική,Fem,ηλεκτρονική,ηλεκτρονικής,ηλεκτρονική,ηλεκτρονική,ηλεκτρονικές,ηλεκτρονικών,ηλεκτρονικές,ηλεκτρονικές
ηλεκτρόνιο,Neut,ηλεκτρόνιο,ηλεκτρόνιου,ηλεκτρόνιο,ηλεκτρόνιο,ηλεκτρόνια,ηλεκτρονίων,ηλεκτρόνια,ηλεκτρόνια
ηλιακός,Masc,ηλιακός,ηλιακού,ηλιακό,ηλιακέ,ηλιακοί,ηλιακών,ηλιακούς,ηλιακοί
ηλικία,Fem,ηλικία,ηλικίας,ηλικία,ηλικία,ηλικίες,ηλικιών,ηλικίες,ηλικίες
ηλικιωμένος,Masc,ηλικιωμένος,ηλικιωμένου,ηλικιωμένο,ηλικιωμένε,ηλικιωμένοι,ηλικιωμένων,ηλικιωμένους,ηλικιωμένοι
ηλιοβασίλεμα,Neut,ηλιοβασίλεμα,ηλιοβασιλέματος,ηλιοβασίλεμα,ηλιοβασίλεμα,ηλιοβασιλέματα,ηλιοβασιλεμάτων,ηλιοβασιλέματα,ηλιοβασιλέματα
ηλιοθεραπεία,Fem,ηλιοθεραπεία,ηλιοθεραπείας,ηλιοθεραπεία,ηλιοθεραπεία,ηλιοθεραπείες,ηλιοθεραπειών,ηλιοθεραπείες,ηλιοθεραπείες
ημέρα,Fem,ημέρα,ημέρας,ημέρα,ημέρα,ημέρες,ημερών,ημέρες,ημέρες
ημίχρονο,Neut,ημίχρονο,ημίχρονου,ημίχρονο,ημίχρονο,ημίχρονα,ημιχρόνων,ημίχρονα,ημίχρονα
ημερολόγιο,Neut,ημερολόγιο,ημερολόγιου,ημερολόγιο,ημερολόγιο,ημερολόγια,ημερολογίων,ημερολόγια,ημερολόγια
ημερομηνία,Fem,ημερομηνία,ημερομηνίας,ημερομηνία,ημερομηνία,ημερομηνίες,ημερομηνιών,ημερομηνίες,ημερομηνίες
ημιτελικός,Masc,ημιτελικός,ημιτελικού,ημιτελικό,ημιτελικέ,ημιτελικοί,ημιτελικών,ημιτελικούς,ημιτελικοί
ηρεμία,Fem,ηρεμία,ηρεμίας,ηρεμία,ηρεμία,ηρεμίες,-,ηρεμίες,ηρεμίες
ησυχία,Fem,ησυχία,ησυχίας,ησυχία,ησυχία,,,,
ηχείο,Neut,ηχείο,ηχείου,ηχείο,ηχείο,ηχεία,ηχείων,ηχεία,ηχεία
ηχογράφηση,Fem,ηχογράφηση,ηχογράφησης,ηχογράφηση,ηχογράφηση,ηχογραφήσεις,ηχογραφήσεων,ηχογραφήσεις,ηχογραφήσεις
ηχώ,Fem,ηχώ,ηχώς,ηχώ,ηχώ,,,,
θάλαμος,Masc,θάλαμος,θαλάμου,θάλαμο,θάλαμε,θάλαμοι,θαλάμων,θαλάμους,θάλαμοι
θάλασσα,Fem,θάλασσα,θάλασσας,θάλασσα,θάλασσα,θάλασσες,θαλασσών,θάλασσες,θάλασσες
θάμνος,Masc,θάμνος,θάμνου,θάμνο,θάμνε,θάμνοι,θάμνων,θάμνους,θάμνοι
θάνατος,Masc,θάνατος,θανάτου,θάνατο,θάνατε,θάνατοι,θανάτων,θανάτους,θάνατοι
θάρρος,Neut,θάρρος,θάρρους,θάρρος,θάρρος,θάρρη,-,θάρρη,θάρρη
θέα,Fem,θέα,θέας,θέα,θέα,θέες,-,θέες,θέες
θέαμα,Neut,θέαμα,θεάματος,θέαμα,θέαμα,θεάματα,θεαμάτων,θεάματα,θεάματα
θέατρο,Neut,θέατρο,θέατρου,θέατρο,θέατρο,θέατρα,θεάτρων,θέατρα,θέατρα
θέληση,Fem,θέληση,θέλησης,θέληση,θέληση,θελήσεις,θελήσεων,θελήσεις,θελήσεις
θέμα,Neut,θέμα,θέματος,θέμα,θέμα,θέματα,θεμάτων,θέματα,θέματα
θέρμανση,Fem,θέρμανση,θέρμανσης,θέρμανση,θέρμανση,θερμάνσεις,θερμάνσεων,θερμάνσεις,θερμάνσεις
θέση,Fem,θέση,θέσης,θέση,θέση,θέσεις,θέσεων,θέσεις,θέσεις
θήκη,Fem,θήκη,θήκης,θήκη,θήκη,θήκες,θηκών,θήκες,θήκες
θήλυ,Neut,θήλυ,θήλεος,θήλυ,θήλυ,θήλεα,θηλέων,θήλεα,θήλεα
θαλασσινά,Neut,,,,,θαλασσινά,θαλασσινών,θαλασσινά,θαλασσινά
θαυμασμός,Masc,θαυμασμός,θαυμασμού,θαυμασμό,θαυμασμέ,θαυμασμοί,θαυμασμών,θαυμασμούς,θαυμασμοί
θαυμαστής,Masc,θαυμαστής,θαυμαστή,θαυμαστή,θαυμαστή,θαυμαστές,θαυμαστών,θαυμαστές,θαυμαστές
θαύμα,Neut,θαύμα,θαύματος,θαύμα,θαύμα,θαύματα,θαυμάτων,θαύματα,θαύματα
θεία,Fem,θεία,θείας,θεία,θεία,θείες,θείων,θείες,θείες
θείος,Masc,θείος,θείου,θείο,θείε,θείοι,θείων,θείους,θείοι
θεατής,Masc,θεατής,θεατή,θεατή,θεατή,θεατές,θεατών,θεατές,θεατές
θεμέλιο,Neut,θεμέλιο,θεμέλιου,θεμέλιο,θεμέλιο,θεμέλια,θεμέλιων,θεμέλια,θεμέλια
θεολογία,Fem,θεολογία,θεολογίας,θεολογία,θεολογία,θεολογίες,θεολογιών,θεολογίες,θεολογίες
θεολόγος,Masc,θεολόγος,θεολόγου,θεολόγο,θεολόγε,θεολόγοι,θεολόγων,θεολόγους,θεολόγοι
θεραπεία,Fem,θεραπεία,θεραπείας,θεραπεία,θεραπεία,θεραπείες,θεραπειών,θεραπείες,θεραπείες
θεραπευτική,Fem,θεραπευτική,θεραπευτικής,θεραπευτική,θεραπευτική,,,,
θερμίδα,Fem,θερμίδα,θερμίδας,θερμίδα,θερμίδα,θερμίδες,θερμίδων,θερμίδες,θερμίδες
θερμοκήπιο,Neut,θερμοκήπιο,θερμοκήπιου,θερμοκήπιο,θερμοκήπιο,θερμοκήπια,θερμοκηπίων,θερμοκήπια,θερμοκήπια
θερμοκρασία,Fem,θερμοκρασία,θερμοκρασίας,θερμοκρασία,θερμοκρασία,θερμοκρασίες,θερμοκρασιών,θερμοκρασίες,θερμοκρασίες
θερμόμετρο,Neut,θερμόμετρο,θερμόμετρου,θερμόμετρο,θερμόμετρο,θερμόμετρα,θερμομέτρων,θερμόμετρα,θερμόμετρα
θερμός,Neut,,,,,,,,
θερμότητα,Fem,θερμότητα,θερμότητας,θερμότητα,θερμότητα,,,,
θεσμός,Masc,θεσμός,θεσμού,θεσμό,θεσμέ,θεσμοί,θεσμών,θεσμούς,θεσμοί
θετικός,Masc,θετικός,θετικού,θετικό,θετικέ,θετικοί,θετικών,θετικούς,θετικοί
θεωρία,Fem,θεωρία,θεωρίας,θεωρία,θεωρία,θεωρίες,θεωριών,θεωρίες,θεωρίες
θεός,Masc,θεός,θεού,θεό,θεέ,θεοί,θεών,θεούς,θεοί
θεώρηση,Fem,θεώρηση,θεώρησης,θεώρηση,θεώρηση,θεωρήσεις,θεωρήσεων,θεωρήσεις,θεωρήσεις
θηλή,Fem,θηλή,θηλής,θηλή,θηλή,θηλές,θηλών,θηλές,θηλές
θηρίο,Neut,θηρίο,θηρίου,θηρίο,θηρίο,θηρία,θηρίων,θηρία,θηρία
θησαυρός,Masc,θησαυρός,θησαυρού,θησαυρό,θησαυρέ,θησαυροί,θησαυρών,θησαυρούς,θησαυροί
θητεία,Fem,θητεία,θητείας,θητεία,θητεία,θητείες,θητειών,θητείες,θητείες
θλίψη,Fem,θλίψη,θλίψης,θλίψη,θλίψη,θλίψεις,θλίψεων,θλίψεις,θλίψεις
θρήσκευμα,Neut,θρήσκευμα,θρησκεύματος,θρήσκευμα,θρήσκευμα,θρησκεύματα,θρησκευμάτων,θρησκεύματα,θρησκεύματα
θρίαμβος,Masc,θρίαμβος,θριάμβου,θρίαμβο,θρίαμβε,θρίαμβοι,θριάμβων,θριάμβους,θρίαμβοι
θρησκεία,Fem,θρησκεία,θρησκείας,θρησκεία,θρησκεία,θρησκείες,θρησκειών,θρησκείες,θρησκείες
θρόνος,Masc,θρόνος,θρόνου,θρόνο,θρόνε,θρόνοι,θρόνων,θρόνους,θρόνοι
θρύλος,Masc,θρύλος,θρύλου,θρύλο,θρύλε,θρύλοι,θρύλων,θρύλους,θρύλοι
θυμός,Masc,θυμός,θυμού,θυμό,θυμέ,θυμοί,θυμών,θυμούς,θυμοί
θυσία,Fem,θυσία,θυσίας,θυσία,θυσία,θυσίες,θυσιών,θυσίες,θυσίες
θόλος,Masc,θόλος,θόλου,θόλο,θόλε,θόλοι,θόλων,θόλους,θόλοι
θόρυβος,Masc,θόρυβος,θορύβου,θόρυβο,θόρυβε,θόρυβοι,θορύβων,θορύβους,θόρυβοι
θύμα,Neut,θύμα,θύματος,θύμα,θύμα,θύματα,θυμάτων,θύματα,θύματα
θύρα,Fem,θύρα,θύρας,θύρα,θύρα,θύρες,θυρών,θύρες,θύρες
ιατρική,Fem,ιατρική,ιατρικής,ιατρική,ιατρική,ιατρικές,ιατρικών,ιατρικές,ιατρικές
ιατρός,Masc,ιατρός,ιατρού,ιατρό,ιατρέ,ιατροί,ιατρών,ιατρούς,ιατροί
ιδέα,Fem,ιδέα,ιδέας,ιδέα,ιδέα,ιδέες,ιδεών,ιδέες,ιδέες
ιδανικά,Neut,,,,,,,,
ιδανικό,Neut,ιδανικό,ιδανικού,ιδανικό,ιδανικό,ιδανικά,ιδανικών,ιδανικά,ιδανικά
ιδεολογία,Fem,ιδεολογία,ιδεολογίας,ιδεολογία,ιδεολογία,ιδεολογίες,ιδεολογιών,ιδεολογίες,ιδεολογίες
ιδεώδες,Neut,ιδεώδες,ιδεώδους,ιδεώδες,ιδεώδες,ιδεώδη,ιδεωδών,ιδεώδη,ιδεώδη
ιδιαιτερότητα,Fem,ιδιαιτερότητα,ιδιαιτερότητας,ιδιαιτερότητα,ιδιαιτερότητα,ιδιαιτερότητες,ιδιαιτεροτήτων,ιδιαιτερότητες,ιδιαιτερότητες
ιδιοκτήτης,Masc,ιδιοκτήτης,ιδιοκτήτη,ιδιοκτήτη,ιδιοκτήτη,ιδιοκτήτες,ιδιοκτητών,ιδιοκτήτες,ιδιοκτήτες
ιδιοκτησία,Fem,ιδιοκτησία,ιδιοκτησίας,ιδιοκτησία,ιδιοκτησία,ιδιοκτησίες,ιδιοκτησιών,ιδιοκτησίες,ιδιοκτησίες
ιδιοσυγκρασία,Fem,ιδιοσυγκρασία,ιδιοσυγκρασίας,ιδιοσυγκρασία,ιδιοσυγκρασία,ιδιοσυγκρασίες,ιδιοσυγκρασιών,ιδιοσυγκρασίες,ιδιοσυγκρασίες
ιδιωτικοποίηση,Fem,ιδιωτικοποίηση,ιδιωτικοποίησης,ιδιωτικοποίηση,ιδιωτικοποίηση,ιδιωτικοποιήσεις,ιδιωτικοποιήσεων,ιδιωτικοποιήσεις,ιδιωτικοποιήσεις
ιδιότητα,Fem,ιδιότητα,ιδιότητας,ιδιότητα,ιδιότητα,ιδιότητες,ιδιοτήτων,ιδιότητες,ιδιότητες
ιδιώτης,Masc,ιδιώτης,ιδιώτη,ιδιώτη,ιδιώτη,ιδιώτες,ιδιωτών,ιδιώτες,ιδιώτες
ιδρυτής,Masc,ιδρυτής,ιδρυτή,ιδρυτή,ιδρυτή,ιδρυτές,ιδρυτών,ιδρυτές,ιδρυτές
ιδρώτας,Masc,ιδρώτας,ιδρώτα,ιδρώτα,ιδρώτα,ιδρώτες,ιδρώτων,ιδρώτες,ιδρώτες
ιερέας,Masc,ιερέας,ιερέως,ιερέα,ιερέα,ιερείς,ιερέων,ιερείς,ιερείς
ιεραρχία,Fem,ιεραρχία,ιεραρχίας,ιεραρχία,ιεραρχία,ιεραρχίες,ιεραρχιών,ιεραρχίες,ιεραρχίες
ιερό,Neut,ιερό,ιερού,ιερό,ιερό,ιερά,ιερών,ιερά,ιερά
ικανοποίηση,Fem,ικανοποίηση,ικανοποίησης,ικανοποίηση,ικανοποίηση,ικανοποιήσεις,ικανοποιήσεων,ικανοποιήσεις,ικανοποιήσεις
ικανότητα,Fem,ικανότητα,ικανότητας,ικανότητα,ικανότητα,ικανότητες,ικανοτήτων,ικανότητες,ικανότητες
ιμπεριαλισμός,Masc,ιμπεριαλισμός,ιμπεριαλισμού,ιμπεριαλισμό,ιμπεριαλισμέ,ιμπεριαλισμοί,ιμπεριαλισμών,ιμπεριαλισμούς,ιμπεριαλισμοί
ινστιτούτο,Neut,ινστιτούτο,ινστιτούτου,ινστιτούτο,ινστιτούτο,ινστιτούτα,ινστιτούτων,ινστιτούτα,ινστιτούτα
ιουδαϊσμός,Masc,ιουδαϊσμός,ιουδαϊσμού,ιουδαϊσμό,ιουδαϊσμέ,ιουδαϊσμοί,ιουδαϊσμών,ιουδαϊσμούς,ιουδαϊσμοί
ιππασία,Fem,ιππασία,ιππασίας,ιππασία,ιππασία,ιππασίες,ιππασιών,ιππασίες,ιππασίες
ιπποπόταμος,Masc,ιπποπόταμος,ιπποποτάμου,ιπποπόταμο,ιπποπόταμε,ιπποπόταμοι,ιπποποτάμων,ιπποποτάμους,ιπποπόταμοι
ιππότης,Masc,ιππότης,ιππότη,ιππότη,ιππότη,ιππότες,ιπποτών,ιππότες,ιππότες
ιπτάμενος,Masc,ιπτάμενος,ιπταμένου,ιπτάμενο,ιπτάμενε,ιπτάμενοι,ιπταμένων,ιπταμένους,ιπτάμενοι
ισολογισμός,Masc,ισολογισμός,ισολογισμού,ισολογισμό,ισολογισμέ,ισολογισμοί,ισολογισμών,ισολογισμούς,ισολογισμοί
ισοπαλία,Fem,ισοπαλία,ισοπαλίας,ισοπαλία,ισοπαλία,ισοπαλίες,ισοπαλιών,ισοπαλίες,ισοπαλίες
ισορροπία,Fem,ισορροπία,ισορροπίας,ισορροπία,ισορροπία,ισορροπίες,ισορροπιών,ισορροπίες,ισορροπίες
ισοτιμία,Fem,ισοτιμία,ισοτιμίας,ισοτιμία,ισοτιμία,ισοτιμίες,ισοτιμιών,ισοτιμίες,ισοτιμίες
ιστολόγιο,Neut,ιστολόγιο,ιστολόγιου,ιστολόγιο,ιστολόγιο,ιστολόγια,ιστολογίων,ιστολόγια,ιστολόγια
ιστορία,Fem,ιστορία,ιστορίας,ιστορία,ιστορία,ιστορίες,ιστοριών,ιστορίες,ιστορίες
ιστορικά,Neut,,,,,,,,
ιστορικός,Masc,ιστορικός,ιστορικού,ιστορικό,ιστορικέ,ιστορικοί,ιστορικών,ιστορικούς,ιστορικοί
ιστοσελίδα,Fem,ιστοσελίδα,ιστοσελίδας,ιστοσελίδα,ιστοσελίδα,ιστοσελίδες,ιστοσελίδων,ιστοσελίδες,ιστοσελίδες
ιστοχώρος,Masc,ιστοχώρος,ιστοχώρου,ιστοχώρο,ιστοχώρε,ιστοχώροι,ιστοχώρων,ιστοχώρους,ιστοχώροι
ιστός,Masc,ιστός,ιστού,ιστό,ιστέ,ιστοί,ιστών,ιστούς,ιστοί
ιστότοπος,Masc,ιστότοπος,ιστότοπου,ιστότοπο,ιστότοπε,ιστότοποι,ιστότοπων,ιστότοπους,ιστότοποι
ισχυρισμός,Masc,ισχυρισμός,ισχυρισμού,ισχυρισμό,ισχυρισμέ,ισχυρισμοί,ισχυρισμών,ισχυρισμούς,ισχυρισμοί
ισχύς,Fem,ισχύς,ισχύος,ισχύ,ισχύ,ισχύες,ισχύων,ισχύς,ισχύες
ισόγειο,Neut,ισόγειο,ισόγειου,ισόγειο,ισόγειο,ισόγεια,ισογείων,ισόγεια,ισόγεια
ισότητα,Fem,ισότητα,ισότητας,ισότητα,ισότητα,ισότητες,ισοτήτων,ισότητες,ισότητες
ιχθυοπωλείο,Neut,ιχθυοπωλείο,ιχθυοπωλείου,ιχθυοπωλείο,ιχθυοπωλείο,ιχθυοπωλεία,ιχθυοπωλείων,ιχθυοπωλεία,ιχθυοπωλεία
ιός,Masc,ιός,ιού,ιό,ιέ,ιοί,ιών,ιούς,ιοί
κάγκελο,Neut,κάγκελο,κάγκελου,κάγκελο,κάγκελο,κάγκελα,κάγκελων,κάγκελα,κάγκελα
κάδος,Masc,κάδος,κάδου,κάδο,κάδε,κάδοι,κάδων,κάδους,κάδοι
κάθετος,Fem,κάθετος,καθέτου,κάθετο,κάθετο,κάθετοι,καθέτων,καθέτους,κάθετοι
κάθισμα,Neut,κάθισμα,καθίσματος,κάθισμα,κάθισμα,καθίσματα,καθισμάτων,καθίσματα,καθίσματα
κάθοδος,Fem,κάθοδος,καθόδου,κάθοδο,κάθοδο,κάθοδοι,καθόδων,καθόδους,κάθοδοι
κάλτσα,Fem,κάλτσα,κάλτσας,κάλτσα,κάλτσα,κάλτσες,καλτσών,κάλτσες,κάλτσες
κάλυμμα,Neut,κάλυμμα,καλύμματος,κάλυμμα,κάλυμμα,καλύμματα,καλυμμάτων,καλύμματα,καλύμματα
κάλυψη,Fem,κάλυψη,κάλυψης,κάλυψη,κάλυψη,καλύψεις,καλύψεων,καλύψεις,καλύψεις
κάμερα,Fem,κάμερα,κάμερας,κάμερα,κάμερα,κάμερες,-,κάμερες,κάμερες
κάμπος,Masc,κάμπος,κάμπου,κάμπο,κάμπε,κάμποι,κάμπων,κάμπους,κάμποι
κάπνισμα,Neut,κάπνισμα,καπνίσματος,κάπνισμα,κάπνισμα,,,,
κάρτα,Fem,κάρτα,κάρτας,κάρτα,κάρτα,κάρτες,καρτών,κάρτες,κάρτες
κάστανο,Neut,κάστανο,κάστανου,κάστανο,κάστανο,κάστανα,κάστανων,κάστανα,κάστανα
κάστρο,Neut,κάστρο,κάστρου,κάστρο,κάστρο,κάστρα,κάστρων,κάστρα,κάστρα
κάτοικος,Masc,κάτοικος,κατοίκου,κάτοικο,κάτοικε,κάτοικοι,κατοίκων,κατοίκους,κάτοικοι
κάτοχος,Masc,κάτοχος,κατόχου,κάτοχο,κάτοχε,κάτοχοι,κατόχων,κατόχους,κάτοχοι
κέικ,Neut,,,,,,,,
κέλυφος,Neut,κέλυφος,κελύφους,κέλυφος,κέλυφος,κελύφη,κελυφών,κελύφη,κελύφη
κέντρο,Neut,κέντρο,κέντρου,κέντρο,κέντρο,κέντρα,κέντρων,κέντρα,κέντρα
κέρατο,Neut,κέρατο,κέρατου,κέρατο,κέρατο,κέρατα,κεράτων,κέρατα,κέρατα
κέρδος,Neut,κέρδος,κέρδους,κέρδος,κέρδος,κέρδη,κερδών,κέρδη,κέρδη
κέρμα,Neut,κέρμα,κέρματος,κέρμα,κέρμα,κέρματα,κερμάτων,κέρματα,κέρματα
κέφι,Neut,κέφι,κεφιού,κέφι,κέφι,κέφια,κεφιών,κέφια,κέφια
κήπος,Masc,κήπος,κήπου,κήπο,κήπε,κήποι,κήπων,κήπους,κήποι
κίνδυνος,Masc,κίνδυνος,κινδύνου,κίνδυνο,κίνδυνε,κίνδυνοι,κινδύνων,κινδύνους,κίνδυνοι
κίνημα,Neut,κίνημα,κινήματος,κίνημα,κίνημα,κινήματα,κινημάτων,κινήματα,κινήματα
κίνηση,Fem,κίνηση,κίνησης,κίνηση,κίνηση,κινήσεις,κινήσεων,κινήσεις,κινήσεις
κίνητρο,Neut,κίνητρο,κίνητρου,κίνητρο,κίνητρο,κίνητρα,κινήτρων,κίνητρα,κίνητρα
καβγάς,Masc,καβγάς,καβγά,καβγά,καβγά,καβγάδες,καβγάδων,καβγάδες,καβγάδες
καθάρισμα,Neut,,,,,,,,
καθήκον,Neut,καθήκον,καθήκοντος,καθήκον,καθήκον,καθήκοντα,καθηκόντων,καθήκοντα,καθήκοντα
καθαρισμός,Masc,καθαρισμός,καθαρισμού,καθαρισμό,καθαρισμέ,καθαρισμοί,καθαρισμών,καθαρισμούς,καθαρισμοί
καθαριότητα,Fem,καθαριότητα,καθαριότητας,καθαριότητα,καθαριότητα,καθαριότητες,-,καθαριότητες,καθαριότητες
