Lemma,Gender,Nom_Sg,Gen_Sg,Acc_Sg,Voc_Sg,Nom_Pl,Gen_Pl,Acc_Pl,Voc_Pl
έπαθλο,Neut,έπαθλο,έπαθλου,έπαθλο,έπαθλο,έπαθλα,επάθλων,έπαθλα,έπαθλα
έπαινος,Masc,έπαινος,επαίνου,έπαινο,έπαινε,έπαινοι,επαίνων,επαίνους,έπαινοι
έπιπλο,Neut,έπιπλο,έπιπλου,έπιπλο,έπιπλο,έπιπλα,επίπλων,έπιπλα,έπιπλα
έπος,Neut,έπος,έπους,έπος,έπος,έπη,επών,έπη,έπη
έργο,Neut,έργο,έργου,έργο,έργο,έργα,έργων,έργα,έργα
έρευνα,Fem,έρευνα,έρευνας,έρευνα,έρευνα,έρευνες,ερευνών,έρευνες,έρευνες
έρημος,Fem,έρημος,ερήμου,έρημο,έρημο,έρημοι,ερήμων,ερήμους,έρημοι
έρωτας,Masc,έρωτας,έρωτα,έρωτα,έρωτα,έρωτες,ερώτων,έρωτες,έρωτες
έσοδο,Neut,έσοδο,έσοδου,έσοδο,έσοδο,έσοδα,εσόδων,έσοδα,έσοδα
έτος,Neut,έτος,έτους,έτος,έτος,έτη,ετών,έτη,έτη
έτσι,Neut,,,,,,,,
έφεση,Fem,έφεση,έφεσης,έφεση,έφεση,εφέσεις,εφέσεων,εφέσεις,εφέσεις
έφηβος,Masc,έφηβος,εφήβου,έφηβο,έφηβε,έφηβοι,εφήβων,εφήβους,έφηβοι
έχθρα,Fem,έχθρα,έχθρας,έχθρα,έχθρα,έχθρες,εχθρών,έχθρες,έχθρες
ήλιος,Masc,ήλιος,ηλίου,ήλιο,ήλιε,ήλιοι,ηλίων,ηλίους,ήλιοι
ήμισυ,Neut,ήμισυ,ημίσεος,ήμισυ,ήμισυ,ημίσεα,ημίσεων,ημίσεα,ημίσεα
ήρωας,Masc,ήρωας,ήρωα,ήρωα,ήρωα,ήρωες,ηρώων,ήρωες,ήρωες
ήττα,Fem,ήττα,ήττας,ήττα,ήττα,ήττες,ηττών,ήττες,ήττες
ήχος,Masc,ήχος,ήχου,ήχο,ήχε,ήχοι,ήχων,ήχους,ήχοι
ίδρυμα,Neut,ίδρυμα,ιδρύματος,ίδρυμα,ίδρυμα,ιδρύματα,ιδρυμάτων,ιδρύματα,ιδρύματα
ίδρυση,Fem,ίδρυση,ίδρυσης,ίδρυση,ίδρυση,ιδρύσεις,ιδρύσεων,ιδρύσεις,ιδρύσεις
ίνα,Fem,ίνα,ίνας,ίνα,ίνα,ίνες,ινών,ίνες,ίνες
ίσκιος,Masc,ίσκιος,ίσκιου,ίσκιο,ίσκιε,ίσκιοι,ίσκιων,ίσκιους,ίσκιοι
ίχνος,Neut,ίχνος,ίχνους,ίχνος,ίχνος,ίχνη,ιχνών,ίχνη,ίχνη
αέρας,Masc,αέρας,αέρα,αέρα,αέρα,αέρες,αέρων,αέρες,αέρες
αέριο,Neut,αέριο,αέριου,αέριο,αέριο,αέρια,αερίων,αέρια,αέρια
αίθουσα,Fem,αίθουσα,αίθουσας,αίθουσα,αίθουσα,αίθουσες,αιθουσών,αίθουσες,αίθουσες
